PFIP17-03;7900-1232/ 2018-3;33;292;Innovacion de los procesos productivos de las unidades demostrativas productivas de agroalimentos ;1388000;967000;421000;Consejo Provincial de Educacion. Centro de Formacion Profesional Agropecuaria No 2;Consejo Provincial de Educacion del Gobierno de la Provincia del Neuquen. Centro de Formacion Profesional Agropecuaria No 2;avalada con financiamiento
PFIP17-04;7900-1232/ 2018-4;33;1;Mejoramiento ganadero mediante incorparacion de modulos de riego por goteo subterraneo para cultivos forrajeros;1286000;900000;386000;Dir.de Forrajes, Dir.Agricultura y Ganaderia, Dir. De Desarrollo Productivo, Subsecret. de Produccion de Neuquen, Ministerio de Produccion y Turismo.;Dir.de Forrajes, Dir.Agricultura y Ganaderia, Dir. De Desarrollo Productivo, Subsecret. de Produccion de Neuquen, Ministerio de Produccion y Turismo. ;avalada con financiamiento
PFIP17-05;7900-1232/2018-5;33;1;Empleo de levaduras autoctonas para el control biologico de enfermedades en post cosecha para produccion organica de peras.;2000000;1400000;600000;La Deliciosa S.A ;Laboratorio de Biotecnologia y Microbiologia de Levaduras, Universidad del Comahue -CONICET (PROBIEN), La Deliciosa SA;avalada con financiamiento
PFIP17-06;7900-1232/2018-6;33;1;Incorporacion de pasivo ambiental generado en la fabricacion de celulosa, a la produccion de biocomsbustibles, e innovacion en la comercializacion a partir de la homogeneizacion y estandarizacion del producto.;1032930;723000;309930;Biocomsbustibles Altapatagonia SRL;Biocombustibles Alta Patagonia SRL;avalada con financiamiento
PFIP17-07;7900-1232/2018-7;33;2;Produccion de especies forestales y arbustivas de zonas aridas y semiaridas a partir de la reutilizacion de lodos activados de la planta de tratamiento de afluentes cloacales de la ciudad de Plottier.;2285000;1599500;685500;Municipalidad de Plottier;Municipalidad de Plottier;avalada sin financiamiento
PFIP17-08;7900-1232/2018-8;33;1;Nueva tecnologia en plantas de tratamiento de efluentes y potabilizacion de agua;3080800;2000000;1080800;ECOKIT SRL;UTN- Facultad Regional de Neuquen, Ecokit SRL;avalada sin financiamiento.  Volvio a presentarse. 
PFIP17-09;7900-1232/ 2018-9;33;1;Desarrollo de una plataforma de produccion de  vacunas orales para la acuicultura;4161006;2905006;1256000;Zampa S.A;Zampa S.A;avalada sin financiamiento
PESPEC18-01;7900-1232/ 2018-10;35;1;Innovacion en la gestion de procesos para la disminucion de riesgos asociados a la salud y al cuidado del medioambiente en la cria intensiva de ganado.;2359389;1647000;712389;Ministerio de Salud y Desarrollo Social;Ministerio de Salud y Desarrollo Social de la Pov. De Neuquen, Facultad de Bromatologia- Univ. de Entre Rios, Servicio de Fisiopatogenia- INEI/ANLIS Malbran;
PESPRO17-01;9000-2/2018- 1;30;1;Laboratorio de mejoramiento genetico porcino para la Patagonia;6134900;4156000;1978900;Fundacion Familia ;Centro PYME ADENEU ;avalada con financiamiento
PESPRO17-02;9000-2/2018-2;30;1;Valorizacion de Efluentes de la Industria Ganadera para obtener biomasa en madera para diversos usos locales en municipios neuquinos.;2746000;1922000;824000;Municipalidad de Buta Ranquil, Alumine y Andacollo;Municipalidad de Buta Ranquil, Alumine y Andacollo, Unidad Provincial de Enlace y Ejecucion de Proyectos con Financiamiento Eterno, Instituto de las Tecnologias del Agua y Medioambiente- Unive. Nacional del Comahue.;avalada con financiamiento
PESPRO17-03;9000-2/ 2018-3;30;60;Desarrollo y produccion de especies nativas y no nativas adaptadas a zonas aridas, con fines forrajeros y de restauracion ecologica, y diversificacion de la matriz productiva de la AFR Challa Co.;2120000;1484200;635800;Asociacion de Fomento Rural Challa Co ;Asociacion de Fomento Rural Challa Co, UNCo, Facultad de Cs. Del Ambiente y Salud, Laboratorio de Rehabilitacion y Restauracion de Ecosistemas Aridos y Semiaridos ;avalada con financiamiento
PESPRO17-04;9000-2/ 2018-4;30;1;Innovacion en la gestion de la calidad de la cerveza ;6197571,43;4338300;1859271,43;Instituto Nacional de Tecnologia Industrial (Centro Regional de Neuquen);INTI ;avalada sin financiamiento
VIT17-01;;36;1;VITEF - NEUQUEN;528000;422400;105600;IVAN JAVIER SANTONI AYALA;Secretaria de Planificacion y Accion para el Desarrollo – COPADE – Gobierno de la Provincia del Neuquen;avalada con financiamiento
PESPRO17-05;;30;336;Desarrollo y adopcion de la tecnologia de pastoreo directo de remolacha forrajera para engorde de ganado bovino de carne;8137725;5682186;2455539;INTA;INTA- Universidad Nacional de Rio Negro- KWS Argentina- Empresas: Trapalco, Don Maineri, Montefiori, Huechahue- Centro PYME-Matadero Municipal Luis Beltran;
DET17-07;9000-000027/18;31;3;Fortalecimiento de la sala de elaboracion comunitaria de productos alimenticios de Vista Alegre ;1004490;700590;303900;Municipalidad de Vista Alegre;Municipalidad de Vista Alegre, Universidad Nacional del Comahue;avalada con financiamiento
ASE17-08;7900-1231/18-5;32;1;Neuquen , travesia virtual;1000000;700000;300000;Direccion provincial de Desarrollo Turistico. Subsecretaria de Turismo.;Direccion provincial de Desarrollo Turistico. Subsecretaria de Turismo.;avalada con financiamiento
